StudentNumber,Gender,Grade,Ethnicity,SchoolName,Lunch,Special Education,Inf. Date,Infraction,Adminstrative Action
S1235091,F,8,White,Gavit Middle School,Free Lunch,,11/20/2015,Failure Refused Detention,Detention Assigned
S1235091,F,8,White,Gavit Middle School,Free Lunch,,12/15/2015,Gym Non-Shower/Non-Dress,ISS-Half Day ICBM
S1235093,M,8,Hispanic,Gavit Middle School,Paid,,11/18/2015,Failure Refused Detention,Detention Assigned
S1235105,M,8,White,Gavit Middle School,Paid,,9/3/2015,Cell Phone,Teacher Conference
S1235105,M,8,White,Gavit Middle School,Paid,,10/16/2015,Cell Phone,Detention Assigned
S1235105,M,8,White,Gavit Middle School,Paid,,10/26/2015,Misbehavior,Conference  Warning
S1235105,M,8,White,Gavit Middle School,Paid,,11/18/2015,Truancy,Detention Assigned
S1235105,M,8,White,Gavit Middle School,Paid,,12/15/2015,Cell Phone,Detention Assigned
S1235122,M,8,Black,Gavit Middle School,Free Lunch,,10/9/2015,Physical Assault/Battery-Studn,OSS-Out Of School Suspension
S1235122,M,8,Black,Gavit Middle School,Free Lunch,,10/13/2015,Disciplinary File Review,Behavior Agreement
S1235146,M,7,Hispanic,Gavit Middle School,Free Lunch,,10/26/2015,Uniform Violation,Detention Assigned
S1235151,F,7,White,Gavit Middle School,Paid,,9/22/2015,Cell Phone,Detention Assigned
S1235151,F,7,White,Gavit Middle School,Paid,,9/23/2015,Cell Phone,Detention Assigned
S1235151,F,7,White,Gavit Middle School,Paid,,10/7/2015,Cell Phone,Detention Assigned
S1235172,M,7,Black,Gavit Middle School,Free Lunch,,9/1/2015,Misbehavior,Detention Assigned
S1235172,M,7,Black,Gavit Middle School,Free Lunch,,10/16/2015,Misbehavior,Detention Assigned
S1235182,F,7,Hispanic,Gavit Middle School,Free Lunch,Specific Learning Disability (07),9/22/2015,Cell Phone,Verbal Reprimand
S1235182,F,7,Hispanic,Gavit Middle School,Free Lunch,Specific Learning Disability (07),11/13/2015,Uniform Violation,Detention Assigned
S1235186,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/9/2015,Classroom Disruption,Detention Assigned
S1235186,M,7,Hispanic,Gavit Middle School,Free Lunch,,10/7/2015,Excessive Tardiness,Friday School
S1235186,M,7,Hispanic,Gavit Middle School,Free Lunch,,10/13/2015,Classroom Disruption,Detention Assigned
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,8/27/2015,Misbehavior,Conference  Warning
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/17/2015,Cell Phone,Teacher Conference
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/17/2015,Other,SEI Consultation
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/24/2015,Cell Phone,Detention Assigned
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,10/27/2015,Fighting,OSS-Out Of School Suspension
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,11/3/2015,Disciplinary File Review,Behavior Improvement Plan (B.I.P)
S1235190,M,7,Hispanic,Gavit Middle School,Free Lunch,,11/18/2015,Cell Phone,Detention Assigned
S1235200,M,7,Multiracial,Gavit Middle School,Free Lunch,Specific Learning Disability (07),9/25/2015,Truancy,Attend Notice Sent
S1235200,M,7,Multiracial,Gavit Middle School,Free Lunch,Specific Learning Disability (07),10/6/2015,Truancy,Attend Notice Sent
S1235200,M,7,Multiracial,Gavit Middle School,Free Lunch,Specific Learning Disability (07),10/16/2015,Truancy,Truancy Referral
S1235200,M,7,Multiracial,Gavit Middle School,Free Lunch,Specific Learning Disability (07),12/8/2015,Fighting,Conference  Warning
S1235201,M,6,Black,Gavit Middle School,Free Lunch,Specific Learning Disability (07),9/3/2015,Other,DAR Issued
S1235204,F,6,Black,Gavit Middle School,Free Lunch,,10/9/2015,Classroom Disruption,ISS-1 Day ICBM
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,8/24/2015,Gross Insubordination,OSS-Out Of School Suspension
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/8/2015,Misbehavior,Detention Assigned
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/14/2015,Cell Phone,Teacher Conference
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/16/2015,Insubordination,ISS-1 Day ICBM
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/25/2015,Classroom Disruption,Administrative Conference
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/28/2015,Cell Phone,Detention Assigned
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,9/30/2015,Insubordination,OSS-Two Days Out of School Suspension
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/12/2015,Gross Insubordination,OSS-One Day Out of School Suspension
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/15/2015,Insubordination,Warning Of Expulsion
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/16/2015,Classroom Disruption,SEI Consultation
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/19/2015,Classroom Disruption,Conference  Warning
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/19/2015,Other,SEI Consultation
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,10/22/2015,Other,SEI Consultation
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,11/10/2015,Insubordination,ISS-In School Suspension
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,11/16/2015,Safety Infraction,ISS-1 Day ICBM
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,11/24/2015,Cell Phone,Detention Assigned
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,12/4/2015,Insubordination,Warning Of Expulsion
S1235215,M,7,Black,Gavit Middle School,Free Lunch,,12/14/2015,Gross Insubordination,OSS-Ten Days OSS/Pending Expulsion
S1235225,M,6,Black,Gavit Middle School,Paid,Specific Learning Disability (07),9/3/2015,Other,DAR Issued
S1235231,F,8,Hispanic,Gavit Middle School,Free Lunch,,11/19/2015,Gym Non-Shower/Non-Dress,Detention Assigned
S1235231,F,8,Hispanic,Gavit Middle School,Free Lunch,,11/19/2015,Uniform Violation,Conference  Warning
S1235231,F,8,Hispanic,Gavit Middle School,Free Lunch,,12/1/2015,Excessive Tardiness,Detention Assigned
S1235234,M,6,White,Gavit Middle School,Free Lunch,,10/19/2015,Classroom Disruption,DAR Issued
S1235245,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/19/2015,Classroom Disruption,Detention Assigned
S1235248,M,6,White,Gavit Middle School,Paid,,10/1/2015,Other,Detention Assigned
S1235252,F,7,Hispanic,Gavit Middle School,Free Lunch,Specific Learning Disability (07),10/12/2015,Excessive Tardiness,Detention Assigned
S1235262,F,6,Black,Gavit Middle School,Free Lunch,,10/16/2015,Misbehavior,Class Suspension
S1235262,F,6,Black,Gavit Middle School,Free Lunch,,11/10/2015,Disruption-School Process,ISS-Half Day ICBM
S1235268,F,7,White,Gavit Middle School,Free Lunch,,9/15/2015,Cell Phone,Teacher Conference
S1235270,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/2/2015,Inappropriate Language,Detention Assigned
S1235270,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/5/2015,Misbehavior,ISS-1 Day ICBM
S1235270,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/7/2015,Disruption-School Process,OSS-Two Days Out of School Suspension
S1235270,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/16/2015,Fighting,OSS-Three Days Out of School Suspension
S1235270,M,6,Hispanic,Gavit Middle School,Free Lunch,,11/5/2015,Misbehavior,Detention Assigned
S1235294,M,8,Black,Gavit Middle School,Free Lunch,,11/18/2015,Failure Refused Detention,Detention Assigned
S1235302,M,6,Hispanic,Gavit Middle School,Free Lunch,,12/7/2015,Classroom Disruption,Conference  Warning
S1235320,M,6,White,Gavit Middle School,Paid,,9/16/2015,Insubordination,Detention Assigned
S1235338,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/25/2015,Classroom Disruption,
S1235338,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/30/2015,Misbehavior,ISS-1 Day ICBM
S1235338,M,7,Hispanic,Gavit Middle School,Free Lunch,,10/2/2015,Misbehavior,Detention Assigned
S1235343,F,8,Hispanic,Gavit Middle School,Paid,,9/16/2015,Uniform Violation,Verbal Reprimand
S1235343,F,8,Hispanic,Gavit Middle School,Paid,,9/18/2015,Truancy,Detention Assigned
S1235343,F,8,Hispanic,Gavit Middle School,Paid,,10/27/2015,Cell Phone,Detention Assigned
S1235343,F,8,Hispanic,Gavit Middle School,Paid,,10/27/2015,Uniform Violation,Detention Assigned
S1235343,F,8,Hispanic,Gavit Middle School,Paid,,11/6/2015,Cell Phone,Detention Assigned
S1235394,F,6,Black,Gavit Middle School,Free Lunch,,9/22/2015,Classroom Disruption,Detention Assigned
S1235412,M,8,White,Gavit Middle School,Free Lunch,,8/13/2015,Insubordination,Parent Conference
S1235412,M,8,White,Gavit Middle School,Free Lunch,,10/27/2015,Insubordination,OSS-One Day Out of School Suspension
S1235412,M,8,White,Gavit Middle School,Free Lunch,,11/16/2015,Unprepared For Class Work,Detention Assigned
S1235412,M,8,White,Gavit Middle School,Free Lunch,,11/18/2015,Truancy,Detention Assigned
S1235412,M,8,White,Gavit Middle School,Free Lunch,,11/20/2015,Gross Insubordination,OSS-Two Days Out of School Suspension
S1235413,M,7,Hispanic,Gavit Middle School,Paid,,11/18/2015,Cell Phone,Detention Assigned
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,9/21/2015,Classroom Disruption,Friday School
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,9/30/2015,Disruption-School Process,Detention Assigned
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,9/30/2015,Uniform Violation,DAR Issued
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,10/6/2015,Insubordination,Detention Assigned
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,10/13/2015,Classroom Disruption,Administrative Conference
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,12/3/2015,Other,SEI Consultation
S1235469,M,6,Black,Gavit Middle School,Free Lunch,,12/8/2015,Classroom Disruption,Class Suspension
S1235490,M,7,Black,Gavit Middle School,Reduced Lunch,,11/18/2015,Failure Refused Detention,Detention Assigned
S1235563,F,7,Black,Gavit Middle School,Reduced Lunch,,10/15/2015,Cell Phone,Teacher Conference
S1235599,F,6,Multiracial,Gavit Middle School,Free Lunch,,11/10/2015,Disruption-School Process,ISS-Half Day ICBM
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),9/1/2015,Misbehavior,Conference  Warning
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),9/3/2015,Classroom Disruption,Ripple Effects Module
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),9/15/2015,Verbal Assault,Administrative Conference
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),9/17/2015,Gross Insubordination,ISS-1 Day ICBM
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),10/1/2015,Inappropriate Language,
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),10/22/2015,Classroom Disruption,Verbal Reprimand
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),10/28/2015,Verbal Assault,Detention Assigned
S1236029,M,7,White,Gavit Middle School,Free Lunch,Other Health Impairment (17),12/14/2015,Fighting,OSS-Three Days Out of School Suspension
S1236045,M,8,Black,Gavit Middle School,Free Lunch,Specific Learning Disability (07),8/20/2015,Verbal Assault,Parent Conference
S1236045,M,8,Black,Gavit Middle School,Free Lunch,Specific Learning Disability (07),8/21/2015,Drug Violation,OSS-Ten Days OSS/Pending Expulsion
S1236144,M,7,White,Gavit Middle School,Paid,,10/2/2015,3 Tardies In 5 Days,Detention Assigned
S1236144,M,7,White,Gavit Middle School,Paid,,10/2/2015,Misbehavior,Detention Assigned
S1236144,M,7,White,Gavit Middle School,Paid,,10/5/2015,Cell Phone,Teacher Conference
S1236144,M,7,White,Gavit Middle School,Paid,,11/11/2015,Cell Phone,Detention Assigned
S1236144,M,7,White,Gavit Middle School,Paid,,11/17/2015,Cell Phone,Detention Assigned
S1236175,F,6,White,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),11/18/2015,Fighting,OSS-One Day Out of School Suspension
S1236249,M,7,Black,Gavit Middle School,Paid,,9/9/2015,Uniform Violation,Teacher Conference
S1236249,M,7,Black,Gavit Middle School,Paid,,10/8/2015,Misbehavior,Conference  Warning
S1236249,M,7,Black,Gavit Middle School,Paid,,10/13/2015,Misbehavior,ISS-1 Day ICBM
S1236249,M,7,Black,Gavit Middle School,Paid,,10/21/2015,Other,SEI Consultation
S1236249,M,7,Black,Gavit Middle School,Paid,,10/22/2015,Vandalism,OSS-Three Days Out of School Suspension
S1236249,M,7,Black,Gavit Middle School,Paid,,11/13/2015,Cell Phone,Detention Assigned
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),8/31/2015,Inappropriate Language,OSS-One Day Out of School Suspension
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),8/31/2015,Other,Conference  Warning
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/3/2015,Classroom Disruption,Ripple Effects Module
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/9/2015,Other,Detention Assigned
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/14/2015,Leaving Without Permission,Class Suspension
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/15/2015,Misbehavior,Ripple Effects Module
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/18/2015,Inappropriate Language,SEI Consultation
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),9/25/2015,Misbehavior,Verbal Reprimand
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/1/2015,Inappropriate Language,
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/2/2015,Insubordination,Ripple Effects Module
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),10/22/2015,Classroom Disruption,SEI Consultation
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),12/4/2015,Misbehavior,DAR Issued
S1236255,M,7,Black,Gavit Middle School,Free Lunch,Emotional Disability (Full Time) (05),12/14/2015,Fighting,OSS-Three Days Out of School Suspension
S1236670,M,6,Hispanic,Gavit Middle School,Free Lunch,,10/15/2015,Other,Administrative Conference
S1236670,M,6,Hispanic,Gavit Middle School,Free Lunch,,12/3/2015,Misbehavior,Class Suspension
S1236723,F,8,Hispanic,Gavit Middle School,Free Lunch,,8/21/2015,Cell Phone,Teacher Conference
S1236723,F,8,Hispanic,Gavit Middle School,Free Lunch,,9/10/2015,Cell Phone,Detention Assigned
S1236723,F,8,Hispanic,Gavit Middle School,Free Lunch,,12/11/2015,Failure Refused Detention,Detention Assigned
S1236733,F,7,Hispanic,Gavit Middle School,Free Lunch,,9/14/2015,Cell Phone,Teacher Conference
S1236733,F,7,Hispanic,Gavit Middle School,Free Lunch,,9/15/2015,Safety Infraction,Parent Conference
S1236733,F,7,Hispanic,Gavit Middle School,Free Lunch,,10/23/2015,Classroom Disruption,Conference  Warning
S1236787,M,8,Black,Gavit Middle School,Free Lunch,,9/22/2015,No Book Or Materials,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,9/15/2015,Other,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,9/16/2015,Misbehavior,Conference  Warning
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,9/16/2015,Refused Class Work,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,9/29/2015,Failure Refused Detention,Parent Conference
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/2/2015,Insubordination,OSS-One Day Out of School Suspension
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/8/2015,Insubordination,OSS-Out Of School Suspension
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/13/2015,Insubordination,OSS-Out Of School Suspension
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/20/2015,Classroom Disruption,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/20/2015,Uniform Violation,Conference  Warning
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/23/2015,Inappropriate Language,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,10/27/2015,Misbehavior,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/5/2015,Failure Refused Detention,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/12/2015,Cell Phone,Conference  Warning
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/13/2015,Cell Phone,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/16/2015,Classroom Disruption,Conference  Warning
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/20/2015,Failure Refused Detention,ISS-1 Day ICBM
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,11/23/2015,Classroom Disruption,ISS-1 Day ICBM
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,12/4/2015,Refused Class Work,Detention Assigned
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,12/9/2015,Misbehavior,ISS-Half Day ICBM
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,12/9/2015,Misbehavior,Lunch Restriction
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,12/11/2015,Classroom Disruption,Conference  Warning
S1237098,M,7,Black,Gavit Middle School,Free Lunch,,12/14/2015,Cell Phone,
S1237100,M,8,Hispanic,Gavit Middle School,Free Lunch,,12/17/2015,Misbehavior,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,10/23/2015,Insubordination,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,10/27/2015,Uniform Violation,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/5/2015,Failure Refused Detention,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/6/2015,Failure Refused Detention,ISS-1 Day ICBM
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/17/2015,Insubordination,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/17/2015,Uniform Violation,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/23/2015,Cell Phone,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,11/23/2015,Excessive Tardiness,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/1/2015,Classroom Disruption,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/2/2015,Failure Refused Detention,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/3/2015,Uniform Violation,Detention Assigned
S1237105,F,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/7/2015,Uniform Violation,Conference  Warning
S1237114,M,8,White,Gavit Middle School,Free Lunch,,11/19/2015,Truancy,Detention Assigned
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,8/12/2015,Disciplinary File Review,Behavior Agreement
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,8/28/2015,Excessive Tardiness,Detention Assigned
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/8/2015,Misbehavior,Conference  Warning
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/11/2015,Cell Phone,Teacher Conference
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/16/2015,Other,Staff Conference
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/21/2015,Excessive Tardiness,Detention Assigned
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/22/2015,Cell Phone,Detention Assigned
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/22/2015,Insubordination,ISS-1 Day ICBM
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/24/2015,Cell Phone,Verbal Reprimand
S1237118,M,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/28/2015,Sexual Harassment-Misconduct,OSS-Ten Days OSS/Pending Expulsion
S1237134,M,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/1/2015,Excessive Tardiness,Friday School
S1237134,M,8,Hispanic,Gavit Middle School,Reduced Lunch,,12/11/2015,Failure Refused Detention,Detention Assigned
S1237144,M,8,White,Gavit Middle School,Reduced Lunch,,10/14/2015,Failure Refused Detention,Detention Assigned
S1237180,M,8,Hispanic,Gavit Middle School,Free Lunch,,11/11/2015,Misbehavior,Detention Assigned
S1237184,M,8,Hispanic,Gavit Middle School,Free Lunch,,12/18/2015,Truancy,Attend Notice Sent
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,9/11/2015,Theft School/Private Property,OSS-Five Days Out of School Suspension
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,9/14/2015,Bullying - Verbal,Administrative Conference
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,9/18/2015,Disciplinary File Review,Behavior Agreement
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,9/29/2015,Safety Infraction,Detention Assigned
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,11/10/2015,Cell Phone,Detention Assigned
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,11/13/2015,Other,SEI Consultation
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,11/16/2015,Classroom Disruption,OSS-One Day Out of School Suspension
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,11/20/2015,Insubordination,Parent Conference
S1237216,F,7,Multiracial,Gavit Middle School,Free Lunch,,12/3/2015,Uniform Violation,Detention Assigned
S1237219,F,8,Black,Gavit Middle School,Free Lunch,,12/10/2015,Refused Class Work,Conference  Warning
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,8/26/2015,Leaving Without Permission,Conference  Warning
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,9/15/2015,Cell Phone,Detention Assigned
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,10/15/2015,Cell Phone,Detention Assigned
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,10/20/2015,Cell Phone,Detention Assigned
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,10/21/2015,Failure Refused Detention,Detention Assigned
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,10/23/2015,Failure To Report,
S1237232,F,7,Hispanic,Gavit Middle School,Reduced Lunch,,12/16/2015,Excessive Tardiness,Detention Assigned
S1237239,M,6,White,Gavit Middle School,Free Lunch,Deaf or Hard of Hearing (04),12/18/2015,Deadly Weapon (Non Firearm),Administrative Leave
S1237241,M,7,Black,Gavit Middle School,Free Lunch,,9/8/2015,Physical Assault/Battery-Studn,OSS-Five Days Out of School Suspension
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,9/14/2015,Uniform Violation,Conference  Warning
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,9/24/2015,Misbehavior,ISS-1 Day ICBM
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,9/29/2015,Sexual Harassment-Misconduct,OSS-Three Days Out of School Suspension
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,10/20/2015,Uniform Violation,Detention Assigned
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,10/27/2015,Classroom Disruption,Detention Assigned
S1237246,M,7,Black,Gavit Middle School,Free Lunch,,12/11/2015,Misbehavior,Detention Assigned
S1237250,F,7,Hispanic,Gavit Middle School,Paid,,8/18/2015,Uniform Violation,SEI Consultation
S1237250,F,7,Hispanic,Gavit Middle School,Paid,,10/28/2015,Insubordination,Detention Assigned
S1237250,F,7,Hispanic,Gavit Middle School,Paid,,12/2/2015,Uniform Violation,Detention Assigned
S1237250,F,7,Hispanic,Gavit Middle School,Paid,,12/17/2015,Cell Phone,Detention Assigned
S1237251,M,7,Hispanic,Gavit Middle School,Free Lunch,,9/8/2015,Cell Phone,Teacher Conference
S1237257,M,7,Hispanic,Gavit Middle School,Paid,,10/12/2015,Cell Phone,Teacher Conference
S1237265,F,8,White,Gavit Middle School,Free Lunch,,11/6/2015,Cell Phone,Teacher Conference
S1237266,M,7,Black,Gavit Middle School,Reduced Lunch,,10/5/2015,Vandalism,Detention Assigned
S1237266,M,7,Black,Gavit Middle School,Reduced Lunch,,11/5/2015,Other,SEI Consultation
S1237266,M,7,Black,Gavit Middle School,Reduced Lunch,,11/19/2015,Failure Refused Detention,Detention Assigned
S1237266,M,7,Black,Gavit Middle School,Reduced Lunch,,12/1/2015,Misbehavior,Detention Assigned
S1237272,F,7,Black,Gavit Middle School,Free Lunch,,10/23/2015,Cell Phone,Teacher Conference
S1237275,F,7,Black,Gavit Middle School,Free Lunch,,9/10/2015,Cell Phone,Teacher Conference
S1237275,F,7,Black,Gavit Middle School,Free Lunch,,10/22/2015,Insubordination,Detention Assigned
S1237277,M,7,Black,Gavit Middle School,Paid,,10/15/2015,Excessive Tardiness,Detention Assigned
S1237277,M,7,Black,Gavit Middle School,Paid,,12/3/2015,Excessive Tardiness,Detention Assigned
S1237297,M,7,White,Gavit Middle School,Paid,,9/11/2015,Theft School/Private Property,OSS-Out Of School Suspension
S1237299,M,7,Hispanic,Gavit Middle School,Paid,,9/29/2015,Uniform Violation,Detention Assigned
S1237299,M,7,Hispanic,Gavit Middle School,Paid,,10/5/2015,Uniform Violation,Detention Assigned
S1237299,M,7,Hispanic,Gavit Middle School,Paid,,11/12/2015,Misbehavior,Detention Assigned
S1237302,M,6,White,Gavit Middle School,Reduced Lunch,,10/20/2015,Inappropriate Language,DAR Issued
S1237313,F,6,White,Gavit Middle School,Free Lunch,,9/17/2015,Fighting,ISS-1 Day ICBM
S1237313,F,6,White,Gavit Middle School,Free Lunch,,10/15/2015,Classroom Disruption,Administrative Conference
S1237313,F,6,White,Gavit Middle School,Free Lunch,,11/20/2015,Failure Refused Detention,Detention Assigned
S1237313,F,6,White,Gavit Middle School,Free Lunch,,12/1/2015,Insubordination,Detention Assigned
S1237313,F,6,White,Gavit Middle School,Free Lunch,,12/4/2015,Failure Refused Detention,ISS-Half Day ICBM
S1237331,F,6,White,Gavit Middle School,Paid,Autism Spectrum Disorder (15),10/23/2015,Misbehavior,Ripple Effects Module
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,9/1/2015,Uniform Violation,Conference  Warning
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,9/2/2015,Classroom Disruption,Detention Assigned
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,9/10/2015,Cell Phone,DAR Issued
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,9/21/2015,Misbehavior,Class Suspension
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,9/25/2015,Cell Phone,DAR Issued
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,10/6/2015,Classroom Disruption,Friday School
S1237353,M,6,Black,Gavit Middle School,Free Lunch,,10/12/2015,Failure Refused Detention,ISS-Half Day ICBM
